O95848 P28331
P60881 Q23445
P45970 Q22703
Q09450 Q9N359
P90740 Q18688
Q9N5D6 O45924
Q9U297 P91349
Q9XUS2 Q95QJ7
P10984 Q09511
Q9N5Y2 Q02332
P34611 Q10654
P90783 Q95YF3
P29691 Q22235
P50093 Q21281
P53588 Q20655
Q20052 Q23536
O45946 Q9N4B8
Q10943 P91917
P81299 O45924
Q21018 O17670
P62805 Q9XW70
Q18090 P46975
Q09450 Q9XTT9
O44451 Q17336
Q9XWG3 Q9XXC8
O45946 Q94407
Q95QD1 Q9BI74
P34420 O44451
Q21701 Q09544
Q9XVJ2 Q17381
Q9U357 P34619
Q09436 Q19749
Q9NEZ7 P34619
O17607 O01839
O45521 P54812
P54812 P50464
Q95QW0 O01839
P34659 P46561
Q18421 Q17635
Q21227 Q22347
Q19766 O44750
O17919 P54812
P62805 Q20798
P34369 O45734
Q20798 Q9BKZ9
O44740 P41848
Q09501 P49029
O44960 P03949
Q22100 Q10453
O01583 Q21121
Q19503 O02108
P52874 O17732
Q20819 P90740
G5EEG7 P34611
P53585 G5EEG7
P53588 Q21227
Q22949 Q9N4F2
P41848 Q22866
Q23120 Q9GYH7
Q18090 Q17958
O62415 Q95Y80
Q9N5Y2 Q19360
Q21121 P90994
P41848 Q9NEZ7
P02567 P35129
Q22235 O17695
O01700 P34669
Q9XWW1 O45797
Q10051 P54406
Q20819 Q95Y89
Q20798 P91349
P20268 Q22235
Q09969 P54406
Q20052 Q9N5Y2
Q19826 Q9XVF7
Q09587 Q9BKS0
P98080 P90947
P47991 Q9XWW1
P23678 Q9U308
Q21018 Q09589
O17919 Q23500
Q9TZ93 P49197
Q17381 P46769
Q19749 Q9NES8
Q17850 O45449
P54812 Q9XWG3
O17894 Q9XVF7
Q21018 O18209
Q9XZI6 Q09530
Q9GYI4 P34653
P34574 O02482
P34453 Q09407
P91353 O01925
O17754 P34659
Q9N5D6 P17330
Q21121 Q20798
Q03577 Q21443
Q18240 P17330
Q17850 Q22619
Q17784 P46769
O02115 P90925
Q94392 Q9N5U5
O17287 Q9Y048
P34453 P53489
O45379 Q21997
Q09530 Q9TXH9
O45924 Q9NAD6
Q9XXC8 Q18235
Q09201 P34808
Q9N4Q7 P54812
O45449 P42171
P53489 Q02332
P41941 P30642
Q9XWS0 O45379
Q09511 Q09450
Q09589 P30625
P46561 P61088
Q20772 O16785
Q9XXN3 Q9XXC8
O45924 Q23120
O45293 P10986
P41942 Q21691
P34278 P41829
Q09296 Q9N4F2
Q9NA25 Q09296
Q18090 P30630
Q20052 O44406
O18141 P48154
Q9TYT3 Q02332
O17214 Q20845
P34453 Q21412
Q9GYI4 O17754
Q22747 Q18090
Q10579 P20268
O17919 P53585
Q23679 P23678
Q07085 P35129
Q20819 P34609
Q9N593 P53489
Q21898 Q95QD7
Q21997 P45962
P53588 P34659
Q21997 P54811
Q19877 Q22949
Q9N5D6 Q9XXK1
Q9N2W5 Q22235
Q23445 Q20052
Q10579 P34369
Q09544 Q19404
Q9BI74 Q9Y048
O44514 P40614
Q22100 Q95YF3
P49029 P53013
P54406 Q09201
P17329 O45766
Q8MYM9 Q9XXH8
P91870 Q18192
P34605 P54406
Q17902 Q21444
Q18885 O97143
P34378 P39016
Q20819 P41941
Q23536 Q19749
Q19537 P54406
Q20052 O45946
P04970 Q19766
Q20798 O17898
Q17868 O01839
P34264 P61088
Q9NA25 P34496
Q95XA8 O45924
Q21443 P54811
Q11189 Q94251
Q10579 P34524
O02161 O17583
Q95QD7 O01916
Q10120 Q95QA6
Q10051 Q18953
Q9XW70 Q19826
P41932 Q9XWW1
Q19325 O02161
O45924 P54812
O17214 Q9N4U5
Q94166 P54406
P34653 Q9XUS2
Q22949 Q95QJ7
O45436 P53489
Q19131 Q09436
O16354 P98080
Q9BKS0 Q95QJ7
Q17695 Q93705
Q21626 P20268
O45766 O45379
Q94166 P17331
Q09201 O44750
P34605 O44960
P41958 Q9BI74
O17287 Q20347
Q17688 Q95PZ0
Q18885 Q09510
Q17958 O45436
O01916 Q09530
Q9N5D6 P17329
P53489 Q17963
O02495 O18048
Q18195 Q18090
Q19826 Q95QJ7
Q09544 Q17958
Q17958 Q93561
Q8MXI4 Q19826
P50880 Q94126
Q22235 O45521
O45924 Q18953
Q10943 O45449
P30625 Q19826
Q9N359 Q17688
P30429 Q27484
Q21305 P34669
Q9XXH8 Q9XWH0
P34345 P91829
Q9NAN2 P41848
Q09236 Q10453
Q22866 Q19503
Q93705 Q17958
P34605 Q9TYT3
P10567 P91353
Q9XWW1 Q20052
Q9BI74 P49197
O02115 Q09248
Q9XWH0 P17330
Q09228 Q09969
Q18688 Q21997
Q18235 P52713
P98080 Q19325
O17645 Q9N5D6
Q965H3 Q02332
Q95QA6 O17645
O44740 Q9U308
Q95PZ0 O01916
Q10661 P34669
Q9TZQ3 Q09589
P46561 Q9BKZ9
Q23049 Q9N3T2
Q09476 P41942
O17754 Q09450
Q03577 Q21952
Q95XQ1 Q09490
P34605 P91349
Q19503 P34611
P34453 Q9XWG3
Q965H3 Q9NAN2
Q18240 Q22949
Q94420 Q23445
P53013 Q9XWG3
Q9XWI6 O17894
Q9XWW1 Q9Y048
Q95QA6 Q17381
Q21738 P42171
Q95YF3 O18141
Q9XWW1 Q9U3I4
Q20819 P41830
P34605 Q9BKS0
Q9XWG3 O45503
Q95QA6 Q93561
P41942 Q95XQ1
Q17688 Q9Y048
Q95QW0 Q18421
Q95XA8 P40614
Q22100 Q95008
P34378 P34563
P30630 Q9Y048
Q19162 Q8MYM9
O01925 P48154
Q09587 Q23049
Q18235 Q9GYI4
Q21018 Q21691
Q21898 O17670
Q93561 Q23232
Q22616 Q22703
Q95XQ1 Q02332
P34686 Q9U281
Q10661 P30642
P54812 Q23120
Q23445 P50464
Q9XWP6 Q95QJ7
Q9XXC8 O01803
P54812 Q18192
Q10943 Q09296
P46975 Q19286
Q22235 P52713
Q10453 Q9GSX9
Q22235 Q9GS00
O44451 O17850
Q17688 O44408
Q8MNV0 P50093
Q22619 Q21952
P30642 Q22703
Q09248 Q9TZ93
O01775 Q27484
Q23679 Q95YF3
P53588 O44408
P30625 P41942
P52872 Q9N5U5
Q09490 Q17688
O45293 Q09406
Q21691 Q93561
Q20798 O18141
Q18688 Q93705
Q94126 Q93561
P41932 Q17967
O16354 Q18938
Q18090 O45449
P17331 Q19766
Q8MNV0 P90783
Q9U308 Q9XVF7
O18141 Q20772
Q9XXC8 Q95008
Q9N4U5 P52872
Q9N4Q7 Q21412
Q8MYM9 Q10051
Q10943 Q95Y72
P49405 O01916
Q17695 P98080
P91870 Q19503
P30632 O76828
P34453 Q9XXC8
P91276 P52874
Q9GYH7 O17898
O17214 O02482
P49197 Q10051
Q20347 Q22235
P10984 O44960
P55956 Q94166
Q8MNV0 O45293
P41941 P53489
P17331 Q17967
P34669 Q94261
Q21443 Q9XZI6
P34563 O17645
Q11189 P54811
Q9U297 O97143
P34496 Q9TW67
P34453 O17915
P03949 Q17688
O45379 Q20655
P23678 P34333
Q09406 P53588
P49029 P53588
Q18953 Q09228
P60881 P34470
Q95YE2 O17919
P34619 P49197
Q22949 O62246
Q18967 P34524
Q18090 P53017
Q21738 O17214
O17645 Q21018
Q94251 P41942
O45293 O62389
P52275 Q17868
P53016 P92186
Q22053 Q20347
O44406 Q18090
P41830 O45924
O45521 O45946
O01427 O17287
Q23232 O01775
O17287 Q10579
Q21898 P50880
P34669 P90925
Q22347 P34427
O45379 Q18953
Q18919 P55956
Q9XXK1 P30625
O02161 O17927
P32085 Q9XWI6
Q9XUS2 Q8MXI4
P34453 P53016
Q965H3 O44740
P53585 Q20819
Q9XXC8 Q9GT24
Q19749 Q20010
Q9XUS2 Q17688
O44406 O45449
Q19555 P34563
P49197 Q9GYI4
O17670 O02495
O16850 O01925
Q19503 P29691
Q07085 O45666
Q21952 P34563
Q18192 Q94392
Q09450 Q21626
Q17345 Q9NA25
P47991 Q9U2M4
Q95Y80 P34653
O01775 Q95Y80
Q9TZQ3 O17927
O02658 P62805
Q02330 Q22949
O01839 P34475
Q09969 P41932
Q17963 P41958
Q9NA25 Q95Y89
P91870 Q22235
P34653 O01916
Q9XWG3 Q95QW0
P34559 Q9Y048
O01839 Q23237
O45379 Q9GYH7
P30630 O44740
Q9XXH8 P34524
Q03577 Q9BI74
P27798 Q23679
Q09969 P34475
Q09511 P34686
Q95QK3 Q21997
P41942 P34286
O17583 Q18786
O17898 Q93573
P49197 P41942
O16299 Q20798
Q09511 P47991
Q19877 O18141
P34496 O45666
P34264 O16354
Q94300 O17287
O02161 Q18235
Q18885 P47209
P53585 O62389
Q17336 Q22347
Q9N5D6 P34345
Q94420 Q09415
Q23445 Q9GSX9
Q21121 P37089
P34808 P90740
Q10453 O02495
Q965H3 O02658
O17287 Q95QD1
P34563 P34378
P91353 Q9XWG3
O45379 P47991
P10567 Q19749
Q20052 P45962
Q21626 P34496
Q09587 O44406
O17894 O17754
Q21443 Q9N5Y2
P90947 Q09969
Q9U3I4 Q94166
P53016 Q09201
Q14790 Q95Y80
Q21121 P60881
O01775 Q09969
O44960 Q11189
Q17381 Q21412
P04970 Q22747
Q8MNV0 Q20052
Q95XR4 O16299
P90783 P53013
Q10943 Q18919
Q9BKZ9 Q17784
O02658 Q18885
Q22053 P34278
Q9BI74 Q9NAN2
Q17850 O45766
P34420 Q19782
P02567 P20268
Q19826 Q07085
Q95008 Q22347
O62389 Q19766
Q21924 Q22347
Q9NEZ7 Q9N5U5
Q09436 P34369
P34420 O44408
P34496 Q27532
P53489 Q18240
Q9N5Y2 P53585
P34331 P41942
O44750 P41829
Q03577 P40614
Q23120 Q21018
Q9U297 P91276
P34559 O02658
P49197 O17915
O02108 O18048
Q10661 Q8MNV0
Q21443 Q95QC4
P42171 Q9N5Y2
P90947 Q9U3I4
Q11189 P34524
Q9BKZ9 Q9XXC8
Q9N5U5 O62415
Q22619 Q94300
O44750 Q9TZ93
P47991 O45449
Q21997 Q21554
Q9NA25 Q93561
Q9N5U5 P41958
Q19131 Q18953
Q9XW13 Q9N4B8
Q95QC4 O17287
Q21997 Q10120
Q95QA6 Q23445
Q09544 Q9XVJ2
P04970 Q23679
P34659 Q95ZK7
P35129 O62415
Q9NA25 Q9N3T2
P41942 Q9TZQ3
Q17850 P34378
O44740 P52713
O18141 P47991
P53585 Q22949
Q9XXK1 O02115
P34653 P62805
Q95Y89 O02161
P60881 Q9U308
Q09406 Q20819
Q93573 Q10051
Q17967 Q27873
Q10943 Q21305
Q18090 Q17635
P03949 Q9N4B8
Q9N4U5 P34496
Q9XVT0 P34808
Q19766 Q95Y89
O45379 Q22799
O01916 P52709
O18141 P46769
O44406 Q21898
Q9XWW1 P34686
Q9XWI6 Q9U357
O44514 O44451
Q95017 P04970
Q22235 Q9XVJ2
Q94392 Q9BI74
Q17336 Q23359
Q9XX47 Q9N5U5
Q19766 Q8MNV0
O45503 P17329
Q09450 O45734
P03949 Q9U308
P17329 Q9N4U5
Q21305 P47991
P46561 Q22747
Q19826 Q10943
Q09415 P47209
Q9U308 Q18953
O45946 Q11189
Q95X91 P52275
O01775 Q09530
P03949 Q09587
Q9XXC8 Q23445
P54811 Q21898
Q07085 Q11189
Q18421 Q17381
Q10579 P91829
Q21121 Q9N4U5
Q9N593 O16785
O01925 P10986
Q9XXK1 Q27532
P34453 P62805
Q9XW70 Q09969
O45293 O16785
P98080 O02658
P50093 Q8MNV0
Q9N5U5 P91353
Q9XUP3 Q22703
Q23445 Q9XVT0
Q09587 O62479
P46975 P46502
O02161 Q94261
Q9N4U5 Q9XWI6
O02161 Q8MNV0
Q9XUP3 Q9XWG3
O01775 Q9N593
P34496 Q9U3F4
O17919 Q20772
Q9U357 Q9N593
P30429 Q95017
P50880 Q09415
Q11189 O45666
P46975 Q9N5D6
P54812 P34420
O18209 Q21955
Q9XVV3 P47991
Q21412 P52872
O01775 Q9U308
O17927 Q18090
Q27484 Q09501
Q18240 Q21898
P34378 Q95008
O18141 O17754
Q95QK3 Q18235
P34496 P52872
P41958 O97143
Q23445 Q19203
P46769 Q18409
Q21952 P53489
O17754 O16354
P49029 P23678
Q95017 P46769
Q21898 Q23359
O45946 Q18885
Q22747 P34609
Q22866 Q11189
Q20798 Q9N4B8
Q9XUS2 Q07085
Q21227 P34378
O01422 P52872
O02115 P40614
P34288 Q95QD7
Q19749 Q19131
Q9U299 Q21444
O17915 Q11189
Q10943 Q94166
P98080 P54406
O45766 O62246
Q9XWG3 Q9TZQ3
O17754 Q22747
O17287 Q9U297
P34475 Q9XUS2
Q22949 Q09406
P41848 Q20772
O44451 Q95XR4
P34345 O45766
P90740 P10986
O16299 P34686
P34653 Q9U2M4
Q09450 Q21738
P41941 Q10120
Q23679 P10984
Q9BI74 P48154
Q9TZ93 P34609
P34278 Q9NA25
P91870 P34669
Q22347 Q18240
P34669 O17915
O45797 P34537
Q9N2K7 Q21898
Q9NAD6 P53588
Q9XUB3 P46561
Q21281 P52874
O17607 Q18421
O02108 Q21701
O01803 P41958
Q9XZI6 P34420
P34653 P46975
P90994 P34496
Q22227 Q94166
Q22949 P81299
Q20845 Q21898
Q23500 Q9N4Q7
P41958 Q19555
Q9N3T2 Q9GYH7
P41958 Q18409
Q9BKS0 Q20052
Q9NEZ7 Q9XWG3
O45666 O45946
Q9XUP3 Q18240
Q19766 P55853
Q94166 P34264
Q9N4U5 Q8WQG9
O02658 Q10654
Q27484 P47209
Q17967 P52713
Q21898 Q9N4B8
P34496 O01422
Q09436 Q9N3T2
Q10661 P34264
P34278 Q94407
Q09476 Q23232
Q20010 Q19749
Q17967 Q9U2M4
O17645 Q9NEZ7
O45734 Q17963
Q18688 O17287
P53017 Q95Y89
Q21412 Q18421
Q9U297 Q95YE2
P34369 P50880
Q21898 Q23237
Q9Y048 Q9XVV3
P42171 P34524
Q93561 Q19203
Q18195 P98080
P34496 P34669
O44451 O45797
Q9GS00 Q9BKS0
P90783 P52872
Q17345 Q9BKS0
P62805 Q9N5Y2
O17754 Q9XWH0
O62389 Q9XW79
Q94126 Q95QD1
Q22618 Q22619
Q20924 P52275
Q18885 Q9U3I4
O17287 Q9GT24
P34559 P34653
O97143 Q18885
Q09969 Q965H3
O17894 P52872
O17898 Q19286
P42171 O62389
O76828 Q9N3F1
Q9NES8 Q9XWG3
P34619 Q21898
Q18891 Q17902
Q19749 O16299
Q95017 O02108
Q22227 Q9XVZ8
O45924 P34605
O45379 Q9XW79
Q21898 Q19877
Q09510 Q9XWH0
O02161 P34619
Q27484 Q07085
Q22100 P54406
P41847 Q9N5U5
Q21121 O17850
O62389 P34278
Q95QA6 P34470
O02482 Q11189
P52872 P52275
Q9NAN2 Q9N5Y2
Q09450 P90783
P52872 Q20347
P34378 O45952
P04970 P34524
Q09476 Q22235
Q9N4Q7 O01839
Q8WQG9 P34496
Q17688 O17894
P41999 P53588
Q9XVJ2 P90916
Q22747 Q18891
Q9XW70 Q17784
O02495 Q17902
Q9BKS0 Q09510
Q9XVF7 P34378
Q95QJ7 P53588
Q22053 Q9NA25
P35129 Q9BKS0
P34427 Q9U2M4
Q9N428 P53588
Q21701 Q9N5Y2
Q9XUV0 P40614
Q09510 P34659
P91349 Q18090
P34470 Q23445
P52275 Q9N5Y2
P41829 Q03577
Q22747 P39016
O01839 Q22747
O17754 Q93561
Q21281 Q10051
O17754 O16299
O45521 Q9GSX9
Q9XWH0 P34288
O02658 Q9N5Y2
O45734 P34264
P34808 Q10051
Q09501 Q18409
Q21121 O45521
Q18938 P34470
P34345 P20268
P34537 Q10943
P98080 O17670
Q23049 P40614
Q9XWH0 P53489
P41958 O16785
Q22100 Q10120
Q17967 P41932
Q95QD7 Q9XXH8
O17583 Q9XVZ8
Q10453 P30625
Q19503 Q9TZQ3
P34427 Q09436
O02161 Q95XA8
O45797 Q19131
O45449 Q10943
O01803 Q21121
Q23679 Q23049
P48154 Q18192
P34427 Q22619
Q22619 P10984
P50093 O01583
Q94300 P34669
O44451 O02658
Q8MYM9 Q17868
Q95YE2 P34369
O17645 Q23232
Q18786 Q22616
P23678 Q9XWW1
P41941 O45734
Q95Y89 Q19766
P41830 P92186
Q17336 O44406
Q20347 P90916
Q07085 Q9XXK1
Q09544 P91001
O45766 O97143
P10984 Q09587
P90740 Q21626
Q21412 Q10120
P53489 Q09201
Q09406 O17645
P49029 P41847
O16850 Q20772
O45293 P32085
Q22619 Q93561
Q20924 Q20347
Q95PZ0 P53588
P27798 Q21701
Q95XQ1 O45293
Q09296 P52713
P90783 Q18938
P52709 Q19766
Q19749 P34333
P47991 Q94126
Q22866 O17894
O01583 P41941
O17287 P81299
Q07085 Q18885
Q09201 Q09248
O17583 Q8MYM9
P41848 Q9N3F1
Q17688 Q9XUP3
Q21412 Q95QK3
Q20772 P91276
P29691 O45503
Q21997 Q94251
P91353 Q94300
P50093 O17898
Q9U357 Q22347
Q09530 P34609
Q95Y89 P50880
Q17963 P46769
Q19266 O17919
Q10579 Q22235
Q09201 Q03577
Q9XZI6 Q17381
P53013 Q10453
O17287 Q23679
P30429 P34537
Q21444 Q95Y80
Q9N5Y2 Q94261
Q21121 Q95008
Q21898 Q20819
Q22866 P34537
O62389 P53017
Q21898 Q9GS00
Q11189 Q20655
Q10654 O17214
P52275 O01839
Q9XWW1 P41958
Q95Y72 Q9U3I4
P41941 P46548
Q95QW0 P46561
O45666 P54812
Q19766 Q23232
Q19162 P46561
Q21898 Q94407
O02658 Q9U281
Q23445 Q8MYM9
O02115 Q9XWS0
O01775 Q19131
O01427 O45666
P91829 O62246
Q9XWG3 P53585
Q93573 P34369
O01916 O17583
O02495 P32085
Q22866 Q18240
Q9BKS0 Q9XTT9
Q07085 Q18919
Q21997 Q20052
O17898 Q27873
Q18195 Q18421
Q93561 P61088
Q9GT24 Q21121
Q9NA25 Q95QD1
O17898 P52872
P34619 Q94261
Q27532 Q09436
O44451 Q95YE2
Q23237 O01925
Q9XUS2 Q9XWS0
Q10943 Q20655
P41941 Q8MXI4
Q22747 O17754
P34369 P52709
Q93561 P53013
Q21443 Q03577
Q18421 O02658
P91353 Q18938
Q21955 Q94261
Q23445 P91917
Q9N4Q7 Q9U357
Q8MXI4 P35129
Q9U357 Q95Y72
Q95QD7 P04970
P30630 Q23049
Q9N4Q7 P91870
P91870 O18141
Q10661 Q18967
Q09436 Q18786
P47209 P34659
Q22235 O01422
Q19766 Q9N3F1
Q22703 Q23571
Q09544 Q9XUS2
O45293 Q19782
Q17963 Q09510
P91917 Q94126
Q9BKS0 Q9XXH8
O17214 Q09511
O44750 Q9XWP6
Q9N4F2 Q9XVJ2
Q9U2M4 P39016
P41932 O17645
Q9N4F2 O01803
Q17688 O45293
P34669 Q9U281
Q22866 Q19131
Q95QW0 Q9BI74
Q9XVV3 Q22616
P50093 Q9N4B8
Q17688 O18158
Q93561 Q22799
Q17850 Q21997
O45924 O62389
Q94126 O44408
Q9P035 Q15907
O43617 Q8C1Z7
P17987 Q8IUR0
P21796 Q15907
P49841 Q9CQA1
P30405 Q9P035
Q8N3I7 P38647
Q3TLI0 O88900
P30405 Q8N3I7
Q09137 O43617
P20393 P48553
P38647 P48553
Q923E4 P48553
Q86SZ2 Q09472
P68400 Q8NFJ9
Q3V3N7 O75865
O55013 Q9WV78
P68400 Q60770
Q9Y5R8 Q8NFJ9
O88900 Q99KR7
Q5NCF2 P60709
Q9CQA1 Q00535
Q8VD72 P48553
Q9NQ48 P30405
Q9Y5R8 Q8N3I7
P38647 Q9WV78
O43617 P0DJI6
Q96EB6 Q9Y296
O75376 Q9JHQ5
Q9H0F7 Q3TLI0
Q9Y5R8 Q12840
Q9CQA1 Q8TAM2
Q9Y5R8 P62491
Q8IUR0 Q02248
P48553 P20393
Q12840 P38646
P21796 Q9P035
Q8C1Z7 P21796
Q9D289 Q60770
Q8IUR0 Q9WV78
Q9ES56 O43524
Q9Y5R8 Q3V3N7
Q3U0M1 P30405
Q14643 Q60932
P48553 Q09137
P20393 P30405
Q9WV78 Q9Y296
P21796 Q96RK4
Q86SZ2 Q9CWF6
Q9ES56 P60709
Q60932 P60709
Q86SZ2 Q8VD72
Q9NQ48 O43617
P48553 P54646
Q8IWZ6 O14901
Q8IWZ6 P38646
Q3TLI0 P20393
Q9Y5R8 Q02248
Q9R1E0 Q8IUR0
Q8TAM2 O43617
Q9NPJ1 Q9NTG7
O55013 Q9CZQ9
Q3SYG4 Q9ES56
P21796 Q9Y5R8
Q9NTG7 O75865
P78371 O14901
Q96RK4 Q5NCF2
Q3V3N7 O75376
Q09137 P48553
O75865 Q00535
Q12840 Q9ES56
Q9UBK2 O75865
A2A935 Q9NTG7
P38647 P55258
Q5NCF2 Q8C1Z7
Q12840 Q9Y296
O43617 P63045
Q00535 Q5NCF2
Q60770 P38647
Q9Y296 Q15154
Q8IUR0 Q9NQ48
O14901 Q9WV78
Q8NFJ9 Q3TLI0
Q3UJU9 Q5NCF2
Q99KR7 P62492
Q86SZ2 Q02248
Q8TAM2 Q9Y5R8
Q86SZ2 Q9BXC9
Q9JHQ5 Q99KR7
P11881 O14901
Q9Y296 Q63503
Q9WV78 O75865
Q8N3I7 Q86SZ2
P78371 P21796
Q96EB6 Q9D289
Q9NTG7 Q09472
Q9D289 Q9WVH4
P63044 Q9CQA1
P38646 Q96RK4
P30405 P49841
Q3SYG4 Q5NCF2
O88848 Q3TLI0
P38647 Q8TAM2
Q60932 Q00535
Q9Y296 Q96EB6
Q5NCF2 Q02248
Q9NPJ1 O75865
Q9NQ48 Q9Y5R8
O75865 O43524
Q66H80 P30405
Q12840 Q9Y5R8
Q9D289 Q96EB6
Q99KR7 Q9CQP2
P68400 Q9CQA1
P68400 Q9Y296
P78371 P68400
Q15154 O14901
P21796 Q9D289
P62492 P48553
Q86SZ2 Q8K2G4
Q9NPJ1 Q60932
O75865 Q9WV78
Q99KR7 Q5NCF2
Q9Y5R8 Q96RK4
O75376 Q8IWZ6
O75865 Q8TAM2
O88900 Q9NTG7
Q3UJU9 Q9P035
Q9Y296 Q99KR7
P38647 Q9P035
Q8N3I7 P30405
P17987 Q9P035
Q09137 O75865
O88900 P38647
P68400 Q9P035
P48553 P68400
Q9H0F7 O75376
P0DI81 Q3TLI0
O43524 Q9CQA1
Q3TLI0 P78371
P61006 Q99KR7
Q86SZ2 O75376
Q9Y5R8 Q9CZQ9
O75376 P78371
Q9CZQ9 Q99KR7
Q923E4 Q86SZ2
Q8IUR0 Q96EB6
Q60932 Q5NCF2
Q9BXC9 Q9NTG7
Q8K2G4 Q9ES56
P0DJI6 Q9D289
O55013 P63045
Q3UJU9 Q86SZ2
Q9NTG7 Q04206
P20393 Q3TLI0
O95273 Q9P035
P63044 P38646
A8MTZ0 O43617
Q8IUR0 P63045
P55258 P68400
O41515 Q8IUR0
Q60770 O75376
P31749 Q60932
O95400 Q9Y4W6
Q9ULX6 P16615
Q13283 Q9BW92
O15160 P07384
O60476 Q6PHZ2
P56391 P38650
Q9UBB4 P35249
Q15427 P12235
P82675 Q6IBS0
O43719 Q8TCJ2
Q9UKU7 P35250
Q9EPC6 Q9H2U2
P03911 P49790
Q6KAS7 P04843
O15371 O95789
Q811U4 Q9NW64
P11177 Q9BS26
O43172 P05198
P62805 O75306
P61006 Q9Y5M8
P03888 Q9ESN9
P03911 O35625
P51965 P61006
P22695 P61011
P68255 Q969E4
Q9H5Q4 P46462
Q9H444 Q96G23
Q5T5P2 P38647
Q92665 Q15672
Q15126 P51553
O43615 P62805
Q53R41 P47869
Q9Y277 P62875
Q92665 Q96QF0
Q9QY76 P53350
P98179 Q9BSF4
Q08211 Q12907
P13667 P61983
Q9UI09 Q9WVC0
P62328 Q9H488
Q9CQH3 Q9QYR6
Q9H2M9 O15160
P18085 Q14152
Q8IWZ8 P63044
Q62277 P62805
P60766 P78346
Q8NDI1 P10109
Q9CQ75 Q9Y6G9
Q9NR28 Q9EPC6
P62495 Q8TCJ0
Q16659 Q9HAV7
Q9ERD7 P35279
Q9NYK5 Q9Y3Z3
P51991 Q5T5P2
Q99574 P42166
Q9H845 O95347
Q14195 O94985
Q8N163 Q9BSJ8
Q9WV92 Q791V5
Q96G23 Q9EQH3
P62314 Q9Y5M8
Q9BVI4 Q14315
Q86XE5 Q92900
Q9EP89 P46781
P12787 P62880
P10155 Q5NDL2
Q86WJ1 Q99832
Q9BSH4 Q9ESN9
Q9BY77 Q96G23
P61457 P15999
Q6P9T8 Q9BW92
P49589 Q8N183
P17535 Q3KQU3
Q16822 P05787
P35269 Q60932
Q9UGP8 O35643
Q9NR28 P83436
P38647 P07237
P04040 P17275
Q10713 Q53QZ3
Q9EQH3 Q03252
Q9NXE8 Q96GX2
Q8BG81 P82933
P35606 Q99848
Q91YT0 P62328
Q6KAS7 O75153
P48771 Q99873
Q2PQA9 P18583
Q8IYB9 Q9UHD8
P06748 Q14197
Q13867 P61014
P78346 Q99832
Q16222 Q9NZ42
P22528 P31943
Q9DC69 Q9UHD8
P30040 Q5F1R6
P55258 O75600
Q6XE24 Q12996
P61956 O15355
Q8N3C0 P63045
P11442 O43143
Q7Z4H7 Q13467
Q9UKT5 Q9NZ45
Q811U4 P78345
O60861 Q9Y3C6
O60524 P04179
Q9NP97 Q9Y3C6
Q9BY77 P09669
Q04727 Q8BGH2
P40630 A8MXV4
P51693 Q9BQ39
O95819 Q7Z2W9
P62857 Q15369
Q9H488 P26374
Q92522 Q7Z6M4
Q15631 Q8CAQ8
Q5T447 Q9CQ69
A2AJI0 Q02978
Q9NQ48 Q86UP2
Q9CQQ7 Q9BQ69
P83916 P08050
P05091 O60832
Q96AG4 Q99719
Q16630 Q9DB77
Q62952 P56391
Q13467 Q32MZ4
P83881 Q9H1E3
Q96BY9 P13010
P58004 O75306
Q16850 P27694
Q96CV9 P51398
P68372 Q09028
O75934 P82675
P22528 O75581
Q9H334 O75342
P49802 O75581
Q8VBT0 Q9CQH3
Q99LY9 O15143
Q9Y3Z3 Q96I99
Q13257 Q16891
Q5VWG9 Q8NI60
P63045 Q9BQ70
O75600 P49915
P62854 Q16891
P51553 Q9Y230
P19388 Q9QWI6
P05423 P15999
Q13867 Q9HCC0
Q9Y277 Q96GX2
O00268 P53582
Q9H8Y8 P29066
O75581 Q01581
P16989 P35354
P35564 Q9BYX7
Q6IBS0 Q8IUF8
Q9BTE3 A8MXV4
Q9UGP8 P31751
Q10713 Q96BY9
Q8WXA9 Q99LC3
Q9Y3D8 Q86YZ3
P30536 Q9NYV4
Q9NZ01 P19332
P25490 P09132
O43172 Q9QYA2
P57740 Q99700
Q9QY76 Q96PT4
P16949 Q9NRZ9
Q15042 Q9Z270
O14974 P28331
Q96KN3 P62820
Q9Y484 Q9CQ54
Q99504 P83436
Q01780 P98161
P17480 Q9WVC0
Q8N983 Q9P013
Q9UKN8 Q8VBT0
P11171 P45880
P26374 O75525
P62875 P68369
Q9NZ01 Q7Z4V5
Q6P2Q9 O43516
Q969S9 P84243
P00918 Q15059
P49368 Q6P1J9
P50748 Q96A33
P06730 P05455
Q9BU23 Q93045
Q9H0S4 Q9Y5L4
Q15393 P83881
Q16143 Q13435
Q6PK81 Q9NSD9
Q9UPY8 P17480
A8MXV4 P30101
O95405 Q05519
Q8CJG0 Q99551
Q9H845 Q9H0S4
P27824 Q9NQ88
Q8WW12 Q92614
O00541 P49411
Q5VTR2 Q8R418
P25106 Q15596
O95202 Q99729
Q9Y5X2 P55084
Q01804 Q63HQ0
Q8QZZ8 P82675
Q9BYC9 P17858
Q15691 P20700
Q9P0M9 Q00839
P13667 Q06124
P11387 O14654
P07814 Q63470
P62270 Q9BU61
Q15459 P85845
Q9H3N1 P13473
P53618 Q9Y305
A6NHL2 Q99549
Q99442 P78371
Q9H9B4 Q86Y56
