Q96K21 Q13627
Q8IY57 O43353
P07737 Q13404
O94953 Q9UL18
P25786 Q9Y6N7
Q61188 P21549
Q05193 Q15652
P60880 Q13351
Q9BYG3 P56945
P05165 Q96B97
Q8IXM2 P39958
P30429 O75417
P84022 Q9BVA6
Q7Z4S6 P42704
P41832 Q96CB9
P0C0S8 Q92783
O75122 Q13263
Q9H1Y0 P20340
P19447 P60468
P20029 Q17R98
P00966 Q9BZD4
P10071 P04273
P84228 P57764
P40855 O00257
Q96KK5 Q14106
P14618 Q9NVI7
Q60598 Q13105
P46100 Q9H845
P53992 P78527
Q03518 Q9H9Q2
Q9Y262 Q9CSN1
P27824 P19793
P07823 Q9H2K2
Q9NQC3 P70399
Q02878 P04843
P21796 Q9NYW8
Q6ZNE5 P26188
P12694 P24863
P32780 Q9NVX0
Q9EP80 P26687
Q99700 Q6ZSG1
O15151 O95747
Q9ULV4 Q96B02
O76031 O15062
Q13561 P12980
P45973 Q02763
O75581 Q8IZ21
Q6ZW49 P30086
P41235 Q9Y6B7
P09936 Q9Y468
Q86V48 P10809
Q9JJY3 O60907
O14686 Q6NSJ5
O18973 Q15059
O00170 Q9UGL1
Q7Z434 Q9WUU8
P26687 P25325
P26038 P19659
P07823 Q9H9G7
Q8IXI2 Q8TD16
Q9P0N5 Q9UBD5
P34932 Q9UBE0
P98161 O15315
O14686 Q13557
P15559 P54198
P40344 P15036
O00411 P36871
P51795 Q02241
P43268 P27824
P07823 Q96NW4
O95613 Q96JM2
P27695 Q5VIR6
P87108 Q9BTM9
Q9UNN5 P48736
Q8N365 O00221
Q15118 O96017
Q15652 Q66GS9
Q12899 O43819
Q9NUV7 O14893
O15194 Q8WWW0
O96017 P24643
O43504 Q86WJ1
P02687 Q68DK7
O96000 Q14185
Q9BUH6 P61006
O00522 Q5JTV8
P52948 P50503
P02511 Q61091
Q9Y6B7 O60879
Q80WQ6 Q9P289
P24928 P01912
Q99613 Q96GM5
P26769 P02545
Q8IXK0 D3ZAR1
Q15005 Q15003
P97260 Q99684
O95461 P61224
Q96DX5 Q9H211
Q9HAU5 Q08484
Q9BUN5 P46677
P62937 P10809
O00411 P61981
Q7KZI7 Q8NBT2
P51943 Q9NZU0
Q1XH17 P14653
Q8N138 O15243
Q9BV86 Q13557
P13804 P18484
O43633 O43474
Q96AQ8 P07948
Q15080 Q9BUH6
O95822 Q6STE5
O15164 O60499
P28347 P49769
P32121 P21796
Q8N138 Q8TEX9
P67812 P13393
P18113 Q92997
Q9BRJ2 Q5SPL2
P38117 Q9UL18
Q15233 P52583
P11277 P46013
P33991 P20340
A2AGH6 P16435
Q9H0E2 Q96HI0
Q91W69 P42704
P48552 Q9BZE1
Q9Y5U4 P40087
Q8K3Y6 P36888
Q14498 P28676
Q76N32 P30307
P59759 Q9UBF8
Q9H5Q4 Q13009
Q6PAL8 O75323
A2AUM9 Q6FI13
Q8N3U4 O14810
Q9H6W3 P09914
Q2MKA7 Q12959
Q04864 Q969G6
Q99807 Q8TCY5
Q8VI67 Q80TQ2
P09038 Q9BSB4
Q6UXV4 Q8TCY5
O43521 O89293
Q3U4G3 Q9GZT9
Q60610 Q9HBM1
Q12996 Q8WUM4
P46108 P53999
Q53EZ4 O15014
Q9H9E3 P14859
P54287 Q9Y294
Q96EK4 P21912
O00267 P55258
O60885 Q13976
Q9NTI5 P29353
Q7Z6Z7 Q16740
Q9H4G4 P40938
Q13509 P05091
Q9UQR0 P18067
Q9Y4A5 P61923
P18074 O55005
O70903 Q6NSJ5
Q61033 P14324
Q9BVG8 O88850
P20339 Q9BZE1
Q969R5 O75154
Q15054 P46199
Q8NFR3 P61923
P84243 Q9WYW0
O15194 P07947
P46677 Q80TQ2
P13693 Q9HCG8
Q9NRR4 Q9P2W9
P04488 Q9NSD9
P22087 P48059
Q13651 Q9JM54
Q6ZNE5 P23771
Q9UJW3 P49802
Q96EY1 P18887
P32455 Q13415
O18973 O61735
P25490 O75146
P02766 Q9BT43
O14908 Q08945
Q9Y2R2 O60341
O75448 Q9QZL0
P60468 O75385
Q92759 O15027
Q12965 P26368
P15311 Q61091
P84244 O95140
Q9M548 Q9UII4
P10085 P00491
Q14974 P05091
Q96QG7 Q8GZB6
P24390 Q8NCD3
P35221 Q16795
Q99684 Q9H0U4
Q96EY1 P21279
Q07864 O95721
O75909 Q9NP72
Q9NZ52 P36873
Q6PAL8 P12694
P29083 P01111
P24723 P56159
Q60793 P49769
Q13503 O88384
P04910 Q61091
Q9BW66 Q60598
Q9JM54 P19838
P18067 P49750
P20339 Q15637
P97820 O88700
P39052 Q6ZYL4
Q9H3D4 O75843
Q03112 P01912
Q13428 Q53EZ4
Q969W0 A2AUM9
P28676 Q9H4G4
Q13489 O43521
Q16623 O75844
Q14789 Q13489
Q96QV6 O15027
P20263 P05141
P63101 Q99MI6
O15054 Q15080
Q9H0U4 P51449
Q96CS2 Q9NY59
Q9UBU9 Q64690
P01111 P06400
P11277 O43719
Q9JK11 Q06945
Q9H4G4 Q6ZWQ0
Q8IY57 P21796
Q16611 P11137
O95071 P61106
P26231 Q5JTV8
Q9U299 Q5U651
O75530 P04114
Q13546 P17535
P53004 P28322
Q14676 Q86SZ2
Q14185 Q9UKF6
Q15561 Q5S007
Q61026 P70335
Q14118 Q03135
P29375 Q9H0R1
P11387 P98171
Q9J3M8 P39008
Q9UN42 Q6NSJ5
Q5JU69 Q15418
O14497 Q71LX4
Q9H4G4 O95999
Q8WVT3 P20936
P31323 P84244
Q5S007 P41229
P25801 Q8TEY7
O75147 Q12874
Q16665 O15354
Q9UKV3 Q12955
Q9H063 Q8T045
Q8TCN5 Q9Z2G6
Q6UXV4 Q13155
P18085 Q49A88
Q16795 Q8TCU6
P49870 P04273
O96000 Q6ZW49
Q9NUB1 Q96JM7
Q08484 Q9NYG5
Q07960 Q7Z6M4
Q9Y5K6 P53539
P39016 Q9NV56
O60337 P46061
P19438 Q14209
Q16656 P16615
Q7Z417 Q9Y5R8
Q14152 Q9NPI1
P49418 Q12931
Q9Y3E7 Q9C0K0
P97879 P29084
Q9UNS1 P25098
O95166 O96000
Q9NXG0 Q92878
Q15648 P21802
Q9W1K5 Q9Y2L5
O96000 Q99816
O15355 Q9H0R6
Q9HBL0 Q15544
P10415 Q3UHD6
P17096 Q9BT67
O96019 Q15771
Q14498 O70903
B2RUR8 Q7Z7H8
Q99MI6 Q14451
Q64690 Q8WXW3
Q9NS23 P60468
Q86TM6 Q13155
Q8WXF7 O00327
Q9NUV7 Q9NPJ1
Q8VI24 Q15388
Q8WUW1 P17275
O75865 Q99708
P11881 Q9UBD5
Q92945 P12235
P32883 Q8IXK0
Q8IWZ6 P01912
Q96MT8 P70399
P63214 P54198
Q04726 P50990
Q99594 P24390
Q14964 P41164
Q03519 P61086
Q92621 Q61316
Q15561 Q13976
P52597 Q9NV70
Q9UIG0 O43557
P43308 Q94818
Q96ST3 P08752
Q92934 Q80UV9
Q99523 Q9GZU1
P07996 Q9NPI1
Q9NUJ1 Q9UK97
Q05639 Q6IN36
Q9BVA6 Q80UV9
Q9Z0S6 P25786
Q8R5C8 Q9Y2A7
P08670 P42261
P19367 P09661
P51668 Q9HBA0
Q8WUM4 P50539
A4D1B5 Q9H4B7
O43752 Q13485
Q92558 O95461
Q8C0J2 Q96RD7
P26687 P00387
Q01484 Q96BD5
O54941 Q15256
Q96AQ8 P11802
O14672 P22091
P04049 P04156
Q9BZI7 O43521
Q13464 P04910
Q9NR96 P20700
Q9WU84 Q9BUJ2
P25118 O60814
P52948 P16298
Q9NR31 Q02224
O94913 Q9BXC9
Q06587 Q96CS3
Q61598 P04273
Q9UMX0 P49817
A5YKK6 O95140
Q9Y5W3 Q70E73
Q13393 P35249
O94985 Q13554
O75909 Q9H6D7
P53992 Q9UQR0
Q01085 P07823
P16234 O60942
P32558 Q14247
Q9UBC3 P10636
P26678 P0CF65
O00461 P51531
Q5XLA6 Q15005
Q61316 O95402
O43739 P43351
Q6P2C8 P22830
Q08945 Q12879
Q16623 Q99PV5
O08852 Q9ULV4
O95503 Q8TDW0
Q6PAL8 Q15080
Q12923 A0FGR9
Q9NTI5 P51693
Q5VIR6 P02829
P12694 P19447
Q7Z392 Q8TDM6
Q01094 P70166
P25963 Q03518
P00491 Q96AQ8
O15360 Q9UBS4
Q13042 P18858
Q9UGN5 Q9UBF8
Q86WJ1 Q61036
O15151 Q61598
P61964 P17156
Q15652 Q9Y566
Q9UK61 Q9NUB1
P82094 Q9BPX6
P18428 P23193
O75880 Q9HCU9
O75448 A0FGR8
Q9Y385 Q9QPN3
Q6STE5 P62157
A4D1B5 Q9ES74
P24468 O94986
Q96CB9 Q9J3M8
Q8NI22 Q9BY43
P04488 P51149
Q9NYW8 P27348
P42262 O75771
P49281 Q3U6Q4
Q9UBP6 P23921
Q9NZU7 O88700
Q15910 Q80UW2
O95997 P25118
P14174 Q9Y2L5
P04925 Q5I0H3
P40227 Q9Y2Z4
Q03519 Q13418
P07437 Q13573
Q8N3Y3 P13569
P30876 P21549
O95402 Q80TQ2
P62330 Q9H668
P63272 P15829
Q9UBE0 P33450
P52815 O43752
P56159 P48003
Q15303 P43308
Q9BZ95 Q7LBR1
Q15643 P05455
P54198 Q15036
P51825 P35354
O15354 Q5JU85
Q8IWA4 Q9HCE5
Q12888 Q9BXL7
A0FGR8 O75531
Q8TF40 Q9NQB0
P46527 Q9H4G4
P35236 Q05639
Q9BT78 P12694
O95631 Q13889
Q99549 Q9H5Q4
P49116 P42684
Q9Y2J2 Q9BW66
P10721 Q9UK61
P40967 Q05193
Q8IXB1 P62258
O43716 Q13765
P30626 Q99743
Q969G3 A2AUM9
Q8TCU6 O00631
P12003 Q13535
Q13472 O60674
D3ZAR1 Q9UN42
P02549 P06899
Q9H0F6 P38117
P06401 Q08484
O00461 Q8WXX7
Q9Y468 Q5VWQ8
Q8IX07 O43572
Q13155 Q9Z0S6
P15646 P56159
Q61656 P07830
P40855 Q9Y2Z4
P30999 Q86UP2
P21856 Q9HBM1
Q13546 O15315
O75448 Q8NI22
P20339 Q9FNE9
O94927 Q9UQE7
Q9BVC4 Q16778
Q6XZF7 P18846
O95453 O60337
Q07960 Q8WVM7
P60468 Q5FWF5
O60814 P10515
P31273 Q8N1B4
O75880 Q13351
P42262 Q14209
P31040 Q86U44
Q9Y3Z3 Q9BV73
Q13950 P04488
Q96CF2 O60934
P50542 Q9NTI5
P30665 P04899
P11177 Q8TCU6
P11310 P25801
Q15154 Q13111
Q9NZU0 Q68CZ6
P16435 Q9Y2X3
Q12967 Q3U4G3
P04273 Q9NQG5
P10085 Q9NSD9
P50990 P01912
P46100 Q7Z7A3
Q13569 Q7LBR1
P05412 Q16760
P11310 Q96QG7
O96000 Q08209
Q9UBC3 P05109
P39016 Q8N4Q1
P49790 P02766
Q99496 Q86VE9
Q9CXC9 P04273
Q9UL25 Q6UXV4
P15813 Q96EP0
P51693 Q9NVC6
P05165 O43617
Q9BWW4 P12814
P32780 Q9NR96
Q9Y385 Q9Z1W9
Q13323 P20936
P21146 P98161
O35696 P31040
P48735 P40344
Q92614 Q03052
Q16543 Q16891
Q80W00 Q6GQT6
P12277 Q15572
Q9C005 Q9P021
P49336 P61224
Q61598 Q8NCD3
P61160 Q15120
O43752 P06493
Q9BYE7 O75197
O75385 Q58WW2
O95931 P11277
O43557 P60468
Q8VIM5 Q15011
Q3U7R1 P13804
O13563 P60468
P51531 O89293
P49848 Q5VSL9
Q9UL03 Q9H0X9
O00631 O60880
Q61091 Q14565
Q9H0D6 Q9UPN4
Q9UK97 Q9Y383
Q9ULD0 Q9H497
Q9NQB0 Q12983
Q9UBU7 P63217
P49662 Q9JJY3
P50503 P22087
Q96DA6 P35916
P49790 Q15185
Q9ULD0 O75146
O95461 P54287
Q13242 Q14204
P14625 Q9Y237
P18583 Q9Y6H5
Q9NR31 Q9HC29
Q5SPL2 Q15080
Q13415 Q96C10
Q93074 P20340
Q05639 P14598
Q62073 O15160
P70388 Q9UII4
P06702 Q8WVM7
Q99717 P38117
Q8IWI9 O88384
P22700 Q28147
Q86U70 Q15276
Q12824 Q9WU78
P33778 Q38SD2
P63102 P26188
O14777 Q9UPY8
P97573 P19388
Q60520 O75865
P31946 Q96CB9
Q15013 Q9NX18
Q80TQ2 P01130
P30533 O18973
Q99549 P57729
P17693 O75146
O43663 Q9J3M8
P16234 Q13424
Q9H0F7 O60934
P84077 P62487
Q9H6L5 P30274
O75874 P54198
Q9HCM1 P17987
Q9NS91 O14735
Q5VZM2 Q01094
Q2NKJ3 Q9BTM9
P07437 Q06587
P14923 O00311
Q9Y5R8 Q6KCD5
O14776 Q6XZF7
Q9NRG4 O76031
Q9P0J0 P13497
Q6ZYL4 Q61316
Q96PM5 P46199
Q06945 P58753
Q9P2W9 P52948
P43246 O00408
Q9H1H9 P41164
P17879 Q02078
Q96QC0 Q96B97
Q9WYW0 Q96AY2
Q9C0J9 O15269
P02549 P22830
Q924T7 Q03468
Q9NTG7 O43189
Q8TDW0 Q9FNE9
O89293 Q15843
Q9H0D6 Q8WXD9
Q9H1D9 O14640
Q9P209 Q9BUR4
Q00534 Q811U4
P55957 P28347
P63000 Q9H0R6
P06104 Q9H0R6
Q13547 Q92552
Q07478 P00488
P97573 Q96GM5
Q92621 Q6UXV4
P43034 Q6PAL8
P38117 O14757
O35274 Q9BVA6
Q6NUQ1 Q17R98
O60333 O15160
Q15468 O75448
O00408 Q9UBL3
Q6NXW6 P70302
P0C0S5 Q9NXB0
P17210 O75396
Q13884 Q86UP2
Q15365 P48553
Q8TEP8 P26678
Q9ES74 P13804
O94927 O43541
P60468 Q16520
Q9H211 Q08509
P07996 P18847
O95292 Q5U651
O60563 P12003
P19438 O75529
Q8NHY2 Q8N138
P52948 P04156
Q6IN36 Q6PGF3
P14142 O60341
P10415 Q9HC77
P38159 Q9UPQ9
O75143 Q12874
O15054 P09619
Q03135 Q5VTR2
Q16695 Q96QV1
Q13085 P43246
Q9UK53 Q4JR05
Q00653 P12235
Q6NSJ5 P28322
Q5VT06 O43819
Q92843 Q15717
Q9HAN9 P13688
P09958 Q86YP4
P41279 Q13415
A4D1B5 A6NHX0
Q96EF0 Q9UN86
Q08499 P13010
P49841 O00631
O43572 Q96T58
O43633 P41235
P49750 Q9GZQ8
Q16695 O95631
Q9P0N5 Q8T045
P78371 Q09028
P55064 O60563
P19659 P30305
O75582 Q9ULD0
P48023 Q8N3Y3
Q10741 Q96AP0
P31323 P20823
P23381 Q9BUI4
Q9Y2Q3 Q99257
O95271 Q5T4F4
Q7Z7H8 Q62311
P20226 Q8WUM4
Q15544 P35221
Q14683 Q96EQ8
Q9BY43 Q14676
Q86SZ2 Q17R98
Q64010 Q8IY57
O15273 Q9Y4E5
Q92830 Q9UKV5
P42261 O43665
Q68CP9 Q13546
Q9EP97 Q70CQ3
P46060 P42261
O00712 Q9UGJ1
P08228 Q8N3Y3
P56962 Q8NE86
P18085 Q92889
O00180 P27782
Q6ZNE5 Q9NVI7
Q12931 Q5TAQ9
P41832 O09053
Q969F2 P19659
P22303 O43557
P38862 P41212
P24643 Q6NYC1
Q9UBD5 Q01813
Q8N138 Q9P0U3
O15270 Q920M9
P20651 Q9Y4A5
Q92889 Q8I2J4
Q9Y580 P70335
Q3U4G3 O14617
Q04864 Q13042
O43716 P52298
P54725 P02549
Q96G30 Q6GQQ9
P49336 P55040
Q14CX7 Q16891
Q13084 Q9P1Q0
Q9Y2A7 Q96MW7
Q05195 P08571
Q9JKV1 Q96E22
Q9GZU7 P34932
O60814 Q9JJY3
Q14191 O00411
O00461 Q15562
P84077 P19447
P32519 P11586
P70302 O75475
Q9UNQ0 Q9NSD9
Q08999 Q16611
P84228 P16234
Q9HAU5 Q6TCH7
Q9Y6N7 O35343
P55212 P25801
Q9Y5B9 P20339
Q8R3L8 Q38SD2
P31322 Q68CP9
Q9Y296 Q9HAV4
Q9NRL2 Q60803
Q01201 Q9Y5U4
O15550 Q7Z7H8
Q9HCM1 Q9Y385
Q9NYV4 Q1XH17
Q8NFW9 Q4G0J3
P42568 Q12834
Q5VZM2 P42262
O14607 P04843
Q12888 Q2I0M4
Q15596 Q969F2
Q01826 Q15388
P48736 Q6ZQ88
Q99942 O70511
Q8NEZ4 Q96QG7
Q7Z7H8 Q5EG47
P02545 P53618
Q969W0 Q9NZI2
Q29983 Q13415
O75127 O75791
Q9HCG8 O95166
O14734 Q9HAV4
Q9UL17 Q9BXL7
P15923 Q7KZI7
O15360 O96000
Q5SPL2 P47712
P14859 Q4ACU6
P32558 P52333
Q15468 P51946
O14657 Q5T6F0
P62805 D3ZAR1
Q96HS1 P00533
P62491 Q9NUB1
O60784 Q96JM7
P61019 Q7Z7C8
P34080 P33991
A6NHX0 P16104
Q9NR31 Q15544
Q63932 Q9UKV0
Q96QF0 Q9Z0S6
P35227 P97573
P01106 Q7Z419
P35638 Q9NTG7
A4D1B5 Q8NEZ4
P49789 O08852
Q71DI3 P46939
O96000 O43264
Q9Y3B4 Q9Y2A7
Q9NRI5 Q9NXV6
O60603 A0JLT2
P05230 Q8NBS9
Q7Z6M4 Q6KC79
P21675 Q9H0B6
P20340 P06702
Q13573 Q9NUV7
Q13415 P51795
O75147 Q9Y2B0
Q4JR05 Q9UBN7
O95602 Q8IUC6
O55005 O14974
Q8IYV9 O15062
Q86WV5 P49769
O60603 Q9UPS6
Q9UNS1 Q9NUJ1
Q13191 Q04724
Q9NVP2 Q6P9F7
Q9BXW9 Q08499
Q9NY65 Q9ULR0
Q9NPB6 Q60520
P07237 P31323
P62805 Q9JM54
Q14966 Q96RD7
O09053 O08852
P19332 Q9NS37
Q9NZN5 P49590
P63101 Q64693
Q13424 P19532
P05198 Q92698
Q9UBU9 Q14789
P27797 Q16891
Q96HS1 Q96QV1
O95835 P50402
P48003 Q9NWZ3
P30626 P42568
Q63932 O95503
Q5T1C6 Q8N6T7
O75154 P04910
O95602 O43572
P01106 P08752
P33450 Q9Y6Q9
Q9Y678 P32776
P49418 Q99684
Q12824 P41279
O43633 A2AGH6
P81122 Q9UPP1
O08852 O75925
O43557 Q00566
P08865 Q5T4F4
P08413 P62805
P01009 Q13765
Q9FNE9 Q7LC44
F1MNN4 O94927
Q16543 Q9Y5R6
Q01405 Q96GG9
P70399 O00180
P53004 Q94818
Q91ZK0 Q80WQ6
Q12959 Q9Y6X3
O76031 Q12996
P13674 Q01705
Q9Y2Q3 Q7L5N1
Q6PL18 Q07813
Q9Y3B4 Q92844
P39748 P10636
Q9Y2J2 Q9UNP9
Q9H082 P19838
P39958 Q15120
Q9NS87 Q9UKF6
P52815 Q96FW1
P63104 P17542
P18484 Q24368
Q2NKJ3 P39016
P24468 Q60598
P13747 Q9P2D1
P61956 Q8N3Y3
P04925 Q13351
Q9GZV8 Q14451
Q8IW19 P01009
P17693 Q8CJG0
Q3UHK8 Q562F6
O75113 O76031
Q12815 Q9Y4B4
Q13009 P22830
Q60431 Q16695
P27782 Q9NZZ3
P41250 Q9BZF1
P13010 P31040
Q71SY5 Q8N122
P16152 Q8IXB1
Q13351 P15924
P29122 Q14493
P35227 Q9GZM8
Q6FI13 Q9Y296
Q03519 Q13404
O08734 P19338
Q96HS1 P29474
O88700 P01009
P04229 P41212
P05091 Q12756
Q9NZI2 Q9QX47
P01130 Q9NYB0
Q8IYB4 Q9CQJ2
Q9H6W3 P27824
P21549 P35221
P07305 P13674
P56817 O95602
P05109 Q9I9A7
Q9Y6N7 P0C0S5
F1MNN4 P30519
Q8IWZ3 Q9P1Q0
P55064 P14653
Q9Y296 O75140
Q9NZ52 Q6ZNE5
Q9BSQ5 O00257
Q9NR31 O15078
Q8VI67 Q9H6D7
Q96RD7 Q5U651
P47825 Q9WU78
P51153 O14686
Q8TDY2 Q9Y5M8
P29474 Q06945
Q99MI6 O75962
P30876 P69682
Q96BD5 Q01484
P67812 Q6XZF7
P18428 Q9UN42
Q13216 Q01968
O15530 P16778
Q9BPX6 Q8N488
Q9HB96 Q8WXI2
P06396 P10085
Q9H0W5 P09874
P17096 O00203
Q61091 Q9UNS1
O88485 Q6TCH7
Q9WU78 Q6ZN18
Q9H0D6 D3ZAR1
Q91WC1 Q15382
Q9BTC8 P19878
P04910 P61586
Q7TNC6 Q27272
P45481 Q96DX5
P52815 Q13422
P61981 P31040
P63212 P24864
P26769 Q921E6
Q9NY74 Q10567
P70280 Q6ZYL4
Q9Y2T1 Q6ZYL4
Q9UHB6 Q12769
Q8IXM2 Q9H0X9
Q91ZK0 P49458
Q06945 Q9ERG0
Q6UXV4 O00303
Q9NWX6 Q80U70
P09913 Q13156
Q9UHK0 Q5VSL9
O43505 Q92841
P84077 Q9UKF6
P21146 Q8IYD8
P11310 Q9UID3
Q16891 P20338
O00522 P21554
P36969 Q12789
Q9NV56 Q8VGC3
O95602 Q9NVX0
Q5EBH1 P48431
Q92526 P40937
Q16576 Q12983
Q9UQB3 Q13637
Q29RF7 P05109
P20651 O75030
P07992 Q13323
Q9UGP5 Q12879
B2RQC6 Q15118
Q12955 O96000
P24385 P27824
Q96CS2 P01106
P59768 Q86UP2
Q9Y3Z3 Q12756
P11474 P28845
P16234 Q8IWA4
Q96PU5 P87108
O60814 Q9BQS8
Q8IWF2 Q9BXL7
O60879 P53999
Q80U63 P23258
Q9NY59 P97879
Q8IX07 Q9NT62
O75880 P63166
P28324 Q14643
Q9CPX6 P52272
Q04199 P06730
P32527 P32519
P51532 Q9NQX3
O75486 Q99962
O00139 Q5VIR6
P49281 Q5JTV8
Q9UGU5 Q15036
Q9BUH6 P35228
Q9Y613 P41229
Q8VEB1 P19490
Q92934 Q61026
O70343 P26678
Q13404 Q8R5B6
P20428 Q13557
P00491 P07269
Q9P2W9 Q96B97
P39688 Q9Y2Q3
Q9H4B7 O08852
P17677 P52272
Q3U6Q4 Q13569
P36404 O43173
P49257 P35348
Q8WTS6 Q9H6D7
P61421 Q8N1F7
Q3U4G3 Q06455
Q9H1H9 O94782
P50503 Q8TAD8
P61019 Q16695
Q7Z3K3 Q9NR28
Q91YI1 Q8IXM2
Q6UN15 Q9NZD2
O43491 Q8TEK3
Q9P2W9 Q99426
Q3U7R1 P29144
Q8TEY7 P32558
A0JLT2 Q96RD7
P05141 Q5VT06
P41832 Q920B9
Q8NBS9 P35236
O43716 O43679
Q9Y676 Q99081
Q63755 P07830
Q96CB9 Q8TF40
P41164 Q9BYN0
Q4JR05 P40855
Q15561 P05091
Q9H0R6 Q3V6T2
Q9HC77 Q8VCD5
O95863 P04488
O43819 P09038
Q9NZ52 Q96GM5
Q61316 Q13535
Q9BZE1 Q9Y265
Q9H1Y0 P15173
Q96CB8 P46821
Q9NZ45 Q9H4A3
Q8IXK0 Q8TCU6
Q8WVC0 Q9HBA0
Q9Y2V7 P30086
P25490 P54830
Q9P0L0 O75874
O15516 P07996
O75530 Q7L7X3
Q06830 P12235
Q9JJY3 P35637
P57764 Q8N726
Q99743 O75962
P12277 P12004
Q99683 O43159
Q03518 Q96FW1
P14735 Q9Y3Z3
Q96R06 Q07869
O75880 Q6FI13
Q16665 P04488
P50570 Q15303
Q96CN5 P43268
Q9Y296 O95251
P09874 Q9Z2G6
Q9NX18 Q8K4K2
Q969U6 Q9P0M6
Q15154 Q99814
P30999 Q9NR31
Q7Z419 Q8N3U4
Q6XZF7 Q9NS37
Q16512 Q12983
P52701 O76003
Q60644 Q9Y4D1
Q96JM2 O55005
P99999 Q9UL25
P81877 P84077
O43463 P61981
O43303 P14653
Q8NHV4 P55317
Q8N3Y3 Q12972
Q9GZQ8 P19388
O75436 Q96EQ8
Q9H307 P28845
Q7LBR1 Q92800
O14617 Q8N6T7
Q76N32 Q16778
P05412 Q8TF40
Q14790 Q9Y3B4
Q61851 Q12888
A6NHX0 Q9UGN5
Q9NY74 P62491
P99999 Q92526
Q8NFH5 Q2VPK5
Q2I0M4 P09874
Q8TEK3 O43312
Q9BVJ6 P32527
P17947 Q8NHV1
Q8IWE5 Q62296
Q969G2 P36969
Q8NBS9 P51003
Q9HCS7 P30101
P11881 P17275
P09958 O94776
Q8VDS3 Q9H0W5
Q9Y296 P20338
Q9NPB6 Q9JIH2
Q9CQJ2 Q9JK11
O14776 Q96B97
P98161 Q9H0H5
Q8GZB6 Q96FW1
P53539 P21579
Q9Y6N9 P08571
P54284 P43246
Q60431 Q96EP1
Q9JJY3 P20263
P84228 Q99LI8
P21372 Q99962
Q13951 Q9NR31
Q9UN86 P20823
Q14739 Q14789
Q9UGU5 P52566
P55884 Q12769
P05166 P46061
O43318 O14867
P32527 Q9UBV2
P36046 Q8WXW3
Q00403 Q9NRI5
P01912 Q9GZX7
P13497 O15194
O18973 Q9BUJ2
O00180 Q5FWF5
Q9H211 O95786
O88850 Q3U7R1
P12004 O60784
Q9NZI8 O60337
Q13415 P81122
P01116 P50851
P07237 Q9GZX7
Q9NR31 O96013
P61981 P15976
Q96DX5 Q92769
P30260 O75154
Q70CQ3 P49791
O75943 O43521
Q17R98 P30101
P18484 O00763
P15829 Q8NG31
Q12933 Q96ST3
Q96L73 Q9DCH4
P18615 P04229
Q96QK1 Q86WJ1
Q13469 P42261
Q9NYY3 O00257
Q9UQR0 Q12933
P10599 O43819
Q9P1Z2 Q96HS1
P30519 O35618
P20700 Q8IZ21
Q9Y294 P81122
P54830 Q17R98
Q24368 P40967
Q13415 O60603
P09661 O75170
Q03173 Q86WJ1
Q60793 P51114
O15455 Q13557
P14923 Q9P0M6
Q13428 Q2VPK5
Q9CW03 Q7L576
P25118 P33778
Q9Y297 P40238
Q99684 P22830
Q13323 Q62074
Q58A45 Q8NI22
Q63932 Q91ZK0
Q70E73 O70343
O95931 O43896
O00461 P70315
O43353 P17844
P11586 Q15672
Q9BUL8 P07823
P61964 P62917
Q8IZU3 Q5TZA2
P14625 P46199
P23255 Q8IXI2
P49418 Q6ZYL4
Q9NQT8 Q7Z434
Q13242 P98161
O95631 P01108
P61923 Q13472
P51668 Q9BSJ8
Q71U36 Q13242
Q9H0F7 P33993
P19490 P24863
Q6IQ20 Q92743
P59768 Q96QV6
Q5JU69 Q12815
Q5W0Q7 Q16740
P54725 Q96ST8
Q7Z434 Q7Z589
Q9Y2A7 P35398
O00311 Q9NY65
P51787 O43439
P22700 O95219
Q12879 Q8N1F7
O96019 Q8NBP7
Q68CP9 Q08484
Q13137 Q9BUI4
P32505 Q8IUC6
P23025 P69682
Q9NVR5 P22087
Q03518 A2AM29
Q9NVP2 Q14315
Q9H4A3 Q9Y4E5
Q6UXV4 Q5JU85
P12081 Q9P2I0
Q9H4G4 Q9NZ09
Q9P2W9 Q16594
Q9UMW8 O75460
P49791 O14734
Q96HS1 Q9UHD9
Q9UHR4 Q96RI1
O95402 Q9Y296
Q969W0 P84077
Q08509 P51795
P25454 P11498
Q9NRW3 Q03518
F4HZB2 Q5JTV8
P46108 P40692
Q9GZS3 P21796
P55258 Q9M548
P82664 Q02156
Q8N2W9 Q92934
Q9UNS1 Q96CG3
P40855 P50402
Q2VPK5 P15884
Q9UJU2 Q14671
Q86UT6 O15194
P26441 P49817
Q9BV86 P49418
O15315 Q96J94
P18031 P18887
Q9CZD3 Q8N1B4
Q9H9Q4 P19332
Q12154 Q9UJU2
Q9H6L5 Q9Y4E8
O94992 P16615
Q8VI67 Q96F86
O14617 Q9Y3B4
Q0JRZ9 Q9NVH0
P28845 O75880
Q01705 P57729
Q9Y6W5 Q9UBG7
Q3U7R1 O15357
Q9UPN9 Q9P289
O75385 P23193
P11498 P17947
D3ZAR1 Q13951
Q9H5Q4 P84243
O35696 Q96G30
P42226 P07237
Q9P0J0 Q9WU78
Q9P2W9 P45973
P07823 O15550
Q9JM54 P11532
P15829 Q9Y2K7
Q08509 P0C0S8
Q9Z148 O76031
